文件ID,CV质量10分，音声10分（20分）,DL号|社团|作者,FB,UC,修正分，bug过多，挤牙膏，无意义刷量强行延长游玩时间+反作弊,内容cg丰富度（15分）,创建时间,剧情有无代入感10分，实用度如何，20分好不好冲？（30分）,备注,夸克,封面,引擎,排雷 评价,搜索,攻略,更新日志,最后修改时间,游戏名大小,游戏性|玩法，好不好玩？（15分）,版本及更新时间等,画风立绘建模如何？10分。动态？10分。cg质量？10分（30分）,百度,类型,视频,评级,"评级（成品级别）评分105- X          90-100 SSS           75-85 SS             60-70 S         45-55A     25-40B ",迅雷,预览
BAYJACT035,,,,1,,,2026年2月16日 02:23,,,,,,横版h版“恐鬼症”，游戏性挺不错,【探索解密ACT像素动态2C】抓鬼贪欲的精神狩猎（Lustful Spirit Hunt）V0.2.0.3 AI汉化附作弊码【700M】,,,2026年2月16日 19:32,抓鬼贪欲的精神狩猎（Lustful Spirit Hunt）V0.2.0.3 AI汉化附作弊码【700M】,,,,1,【探索解密ACT像素动态2C】,未开始,,A(S),1,
BAYJACT036,,,,,,,2026年2月16日 02:23,,,,,,画风不错，设定很新颖，内容少了点。,【日式ACT汉化全动态像素】涩气迸发！米青液链接！ しこバース・シコネクト! 叶酱内嵌汉化版 【200M】,,,2026年2月16日 19:32,涩气迸发！米青液链接！ しこバース・シコネクト! 叶酱内嵌汉化版 【200M】,,,,1,【日式ACT汉化全动态像素】,未开始,,S,,
BAYJACT037,,,,,,,2026年2月16日 02:23,,,,,,,【ACT/官中/血腥/R18G】WHISPERER官中【1G】,,,2026年2月16日 19:32,WHISPERER官中【1G】,,,,1,【ACT/官中/血腥/R18G】,未开始,,S,,
BAYJACT038,,,,,,,2026年2月16日 02:23,,,,,,"立绘挺不错的，怪物有点掉san，没有战败cg，只有death,不太喜欢这种",【ACT/官中/猎奇/血腥R18G】Nyctophobia2 New Dawn【官中】,,,2026年2月16日 19:32,Nyctophobia2 New Dawn【官中】,,,,1,【ACT/官中/猎奇/血腥R18G】,未开始,,A,,
BAYJACT039,,,,1,,,2026年2月16日 02:23,,,,,,还不错，但是不如ACT23,【3D互动/室外露出/全动态/官中】户外露出少女莉娜 V1.0 DL官中【1.90G】,,,2026年2月16日 19:32,户外露出少女莉娜 V1.0 DL官中【1.90G】,,,,1 https://pan.baidu.com/s/1KPFaBD5n85dtFyUFvfU7RA?pwd=BAYJ 提取码: BAYJ,【3D互动/室外露出/全动态/官中】,未开始,,A,1,
BAYJACT040,,,,,,,2026年2月16日 02:23,,,,,,,【横版ACT/合集/战斗H/动态/步兵】MagicalAnge全系列合集八个版本(完结版5部+测试版3部) +CG存档 【8.2G】,,,2026年2月16日 19:32,MagicalAnge全系列合集八个版本(完结版5部+测试版3部) +CG存档 【8.2G】,,,,https://pan.baidu.com/s/1xx2A8XjXbDcQvBLYRhaqRQ?pwd=BAYJ,【横版ACT/合集/战斗H/动态/步兵】,未开始,,A,,
BAYJACT041,,,,,,,2026年2月16日 02:23,,,,,,H版合金弹头，小黄油,【ACT/无文本/全动态/新作】败北士兵 FallenSoldier Ver1.0.2 DL正式版【100M】,,,2026年2月16日 19:32,败北士兵 FallenSoldier Ver1.0.2 DL正式版【100M】,,,,"1 https://pan.baidu.com/s/1BgvOiiRx61RdUFCoUQXPiQ?pwd=BAYJ 提取码: BAYJ ",【ACT/无文本/全动态/新作】,未开始,,B,,
BAYJACT042,,,,,,,2026年2月16日 02:23,,,,,,,[ACT/动态/重口/CV]低语者/夜语者 WHISPERER v1.0官中 【1G】,,,2026年5月19日 03:11,低语者 WHISPERER v1.0 【1G】,,,,1,【ACT/官方中文/动态CV】,未开始,,S,,
BAYJACT043,,【もぐらソフト】,,,,,2026年2月16日 02:23,,,,,,,【ACT/逆推/大车】スーパーパンチボーイ 全cg【中文】,【もぐらソフト】,,2026年2月16日 19:32,スーパーパンチボーイ 全cg【中文】,,,,1,【ACT/逆推/大车】,未开始,,S,,
BAYJACT044,,,,,,,2026年2月16日 02:23,,,,,,,【ACT/逆推/大车】おねショタ剣戟ACT 廻るハゴコロ 全cg【中文】,,,2026年2月16日 19:32,おねショタ剣戟ACT 廻るハゴコロ 全cg【中文】,,,,1,【ACT/逆推/大车】,未开始,,SS,,
BAYJACT045,,,,,,,2026年2月16日 02:23,,,,,,,【ACT/逆推/大车】【おねショタ】狩人の夢守る旅,,,2026年2月16日 19:32,【おねショタ】狩人の夢守る旅,,,,"1  https://pan.baidu.com/s/1MVvOf1h4sVi0l5hIBMrCOA?pwd=BAYJ 提取码: BAYJ ",【ACT/逆推/大车】,未开始,,S,,
BAYJACT046,,,,,,,2026年2月16日 02:23,,,,,,,【ACT/逆推/大车】王様はおねショタの夢を見る,,,2026年2月16日 19:32,王様はおねショタの夢を見る,,,,1,【ACT/逆推/大车】,未开始,,S,,
BAYJACT047,,,,,,,2026年2月16日 02:23,,,,,,ST3月新作,【动作ACT/像素/全动态/官中】好色的维克多（Lustful Victor）V1.0 正式版STEAM官中【600M】,,,2026年2月16日 19:32,好色的维克多（Lustful Victor）V1.0 正式版STEAM官中【600M】,,,,1,【动作ACT/像素/全动态/官中】,未开始,,A,,
BAYJACT048,,,,,,,2026年2月16日 02:23,,,,,,,【ACT/像素/异种奸】剪刀与魔法奇缘 A-SandM_Ver0.0.6,,,2026年2月16日 19:32,剪刀与魔法奇缘 A-SandM_Ver0.0.6,,,,1  https://pan.baidu.com/s/1BDvAUvSQTTp6xiXs6tg7Nw?pwd=BAYJ 提取码: BAYJ,【ACT/像素/异种奸】,未开始,,A(SS),,
BAYJACT049,,,,1,,,2026年2月16日 02:23,,,,,,像素风，各种陷阱CG很赞啊，而且有声，就是游戏优化不太行，卡卡的，操作有点难受。,【爆款ACT/像素/修女堕落/汉化】 PINK LIGHT 淫辱色情陷阱地牢（PINK LIGHT 淫辱エロトラップダンジョン）V1.2.1 AI汉化带全回想【1.50G】,,,2026年2月16日 19:32," PINK LIGHT YRSQ陷阱地牢（PINK LIGHT YRエロトラップダンジョン）V1.2.1 AI汉化带全回想【1.50G】",,,,1,【爆款ACT/像素/修女堕落/汉化】,未开始,,S,1,
BAYJACT050,,,,,,,2026年2月16日 02:23,,1.32,,,,,【爆款ACT/中文/全动态/大更新新DLC】H版我的世界：Ecchi&Craft Ver1.30 官方中文版+存档+DLC【5.5G】,,,2026年2月16日 19:32,H版我的世界：Ecchi&Craft Ver1.30 官方中文版+存档+DLC【5.5G】,,,,1,【爆款ACT/中文/全动态/大更新新DLC】,未开始,,SSS,,
BAYJACT051,,,,1,,,2026年2月16日 02:23,,2.03,,,,,【ACT中文像素全动态】炸金公馆 Ver2.01  Drain Mansion v2.0.1  STEAM官方中文步兵版+全回想【500M】,,,2026年2月16日 19:32,炸金公馆 Ver2.01  Drain Mansion v2.0.1  STEAM官方中文步兵版+全回想【500M】,,,,1,【ACT中文像素全动态】,未开始,,S,1,
BAYJACT052,,,,,,,2026年2月16日 02:23,,1.13,,,,,[日式ACT动态更新] 哈奇娜怪异谭 ハチナ怪異譚 Ver1.12 官方中文版+存档 [2G],,,2026年2月16日 19:32,哈奇娜怪异谭 ハチナ怪異譚 Ver1.12 官方中文版+存档 [2G],,,,,"[日式ACT动态更新] ",未开始,,SS,ACT合集,
BAYJACT058,,,,,,,2026年2月16日 02:23,,1.04,,,,,[ACT/逆X/像素/魔物娘]Lost in the World of Succubi~魅魔世界的迷途人 1.01官中步兵+存档【540M】,,,2026年2月16日 19:32,Lost in the World of Succubi~魅魔世界的迷途人 1.01官中步兵+存档【540M】,,,,,[ACT/逆X/像素/魔物娘],未开始,,S,ACT合集,
BAYJACT057,,,,,,,2026年2月16日 02:23,,,,,,,【ACT/逆推/魔物娘】Super Monsters'n Girls-超级魔物娘2.0.2,,,2026年2月16日 19:32,Super Monsters'n Girls-超级魔物娘2.0.2,,,,,【ACT/逆推/魔物娘】,未开始,,,,
BAYJACT059,,,,1,,,2026年2月16日 02:23,,,,,,"挺好玩的，可惜内容不算多。全回想可直冲。
",【解密SLG/探索脱出/像素全动态】放课后的捉迷藏（放課後の鬼ごっこ）Houkago no Onigokko V1.0.1 DL官方中文带全回想 【300M】,,"作品内容

因为平时胆小总是被欺负的男主
被强迫去废弃的学校里探险

那里存在着各种女鬼
一个幽灵对他说道
“和我的朋友们玩捉迷藏坚持到6点的话就把你平安送回去”

坚持活到天亮！

奔跑吧
躲避吧！

直到早上6点的钟声响起

游戏时长1~2小时
动画12个


操作按键

游戏玩法




在校内徘徊时会出现想要袭击你的女幽灵
被抓到后便会开始场景且损失生命值1点


躲藏在柜子中能够摆脱其视野范围，逃避追击



地图中有各种各样的道具可以活用

",2026年2月16日 19:32,课后的捉迷藏（放課後の鬼ごっこ）Houkago no Onigokko V1.0.1 DL官方中文带全回想 【300M】,,,,"https://pan.baidu.com/s/1BDNUd5mJltnSV9eq7984Pw?pwd=BAYJ
https://pan.xunlei.com/s/VOZTWTjZ_sI8q4Zki0lqFYsVA1?pwd=9bba
https://drive.uc.cn/s/cb6889474a3a4?public=1
",【解密SLG/探索脱出/像素全动态】放,未开始,,S,1,
BAYJACT060,10,【もぐらソフト】,,1,,15,2026年2月16日 02:23,30,ACT合集,,,,毋庸置疑的像素风ACT神作，画风CG一流，带解谜元素,[PC/神作ACT/逆X/全动态/像素风/微解密]诱惑城堡 Castle of temptation V1.1.2 官中完结版+存档[1.3G/137M],,"更新日志：
4/28 V1.1 BUG修正
‧stage03 BOSS會出現無法遊戲的情況
‧stage03 BOSS判定問題修正
‧最後關卡前的紀錄點會無法通行的問題
‧童貞模式無法使用的問題
‧攝影機部份區域卡頓的情況
‧修正翻譯遺漏

游戏介绍：
这是一款采用UNITY引擎制作的像素互动探索ACT游戏
游戏全程高能，各种玩法异常奇妙
每个场景都奇妙无比，各种H事件更是有趣
而且这作的各种陷阱和剧情真心神仙，秀得要命
虽然版本不高，但是内容已经不少，推荐大家体验！



游戏特点：
H场景全部是点动画！
★H场景至少有70种以上！
★30种以上的魔物娘和丰富的陷阱！
★在很多H场景中收录了大量的动作/台词差分。
★童贞模式下，台词和H场景也会有更大的变化！

这个游戏以女性优势性交为主。
玩家会在舞台内遭遇性攻击或反雷○普。
包括骑乘位、正常位、背部、手背、足背、尖刀、口交、哺乳、强○手淫、洗脑、形态变化、身体变化、胎内回归等。
所有的H场景都有大量的射精表现。

被魔物娘和陷阱的诱惑包围，圆腰的你唯一能依靠的只有自己的意志。
你到底能不能完成这个考试。或者。。。

在这座城堡里，有什么秘密在等待着玩家？

游戏剧情：
勇者战魔王什么的早就已经过时了~
现在，魔王城已经开放成为绝佳的旅游景点，成为万千游客们拍照发朋友圈的圣地
但是，这个世界上依旧保存着[勇者斗魔王]的风俗
……但是因为现在魔王都变成资本家了，自然不能像以前那样打打杀杀
于是，在无数魅魔的努力下，魔王城被彻彻底底改造！
成为了一座充满了エロ陷阱，充满了饥渴魅魔小姐姐的……[真人秀挑战舞台]！
每年，都有数以千计的勇者前仆后继的前来挑战
但是都无一例外的败倒在陷阱和大姐姐身下，被榨为人干
你！你可以吗！！看起来就不一般的勇士！看起来就很猥琐的勇者！
夺冠大热门！开始挑战了哦~",2026年6月4日 05:17,诱惑城堡 Castle of temptation V1.1.2 官中附存档【1.3G】,15,,30,,【像素ACT/逆X/微解密】,未开始,SSS神作，夯爆，必吃,SSS 100,1,
BAYJACT061,,,,https://drive.uc.cn/s/59b58338728d4?public=1,,,2026年2月16日 02:23,,1.12,,,,"DL6月新作。和放课后捉迷藏差不多，但更丰富，挺好玩的，可惜内容也不算多。
全回想胆小也可冲。",【爆款ACT/探索解密/像素全动态/官中】医院的诱惑（Hospital Seduction）V1.0.1 DL官中带全回想【200M】,,"作品内容
剧情简介 | Story Overview
一位因学习疲惫而寻求片刻休息的青年，住进了一家医院。
然而，这家医院绝非普通之地，随着青年的入住，现实与噩梦的界限逐渐模糊。在怀疑眼前所见的一切的同时，玩家将逐渐接近潜藏于此地的 “真实”。在被绝望支配的 5 个夜晚的尽头，所有的谜团终将真相大白。





游戏玩法 | Gameplay
在白昼期间，玩家将深入探索医院的各个角落。在这里，会邂逅个性十足的住院患者与职员，他们的背后似乎都隐藏着秘密。通过与他们对话，参与各种事件，玩家可以收集故事的碎片与重要的线索，逐步揭开医院背后的神秘面纱。每一次对话，每一个新发现，都可能是解开谜题的关键。





活到天明 | Survive Until Morning



然而，当夜幕降临，医院便会彻底改变模样。那些在白昼看似正常的人们，会变貌为恐怖的存在。




玩家必须一边躲藏、一边逃跑，灵活运用有限的道具和环境，努力求生。医院的每一个房间、每一条走廊，都可能成为躲避危险的临时庇护所，也可能隐藏着未知的恐怖。


玩家需要时刻保持警惕，谨慎地探索，为夜晚的恐怖做好准备。快逃，快躲，否则就将成为他们的食粮。



在这 5 个白昼与 5 个无尽的夜晚中，生存将成为玩家唯一的目标。

通关游戏之后 | Post-Game Content
当玩家成功通关游戏后，还有丰富的内容等待着大家。不仅可以重新体验所有的场景，回味那些紧张刺激的瞬间，还可以重新游玩特定的白昼与夜晚章节，尝试不同的策略，挖掘更多隐藏的细节。
快来挑战这款充满神秘与恐怖的游戏，在现实与噩梦交织的医院中，寻找属于你的真相吧！

",2026年3月12日 23:05,医院的诱惑（Hospital Seduction）V1.0.1 DL官中带全回想【200M】,,,,https://pan.baidu.com/s/15nr5c5RsVYP2HGLdGtKdMQ?pwd=BAYJ,【爆款ACT/探索解密/像素全动态/官中】,未开始,,S,"https://pan.xunlei.com/s/VOZTX6H1YGgReSg3hhQlTEqwA1?pwd=5hnc
",https://pic.moebox.io/album/ACT061.XcGED
BAYJACT063,,,,,,,2026年2月16日 02:23,,"视频介绍https://v.douyin.com/zRTyRg97B60/ ",,,,,【ACT/PC/动态/异种X/更新】可爱 -虐系陷阱地牢/病态的触手陷阱迷宫/病みカワ リョナトラップダンジョン/Kawaii -Ryona Trap Dungeon-Ver1.0 STEAM官中+存档【1.6G】,,"发行日期:
2025 年 5 月 2 日
开发者:
Dieselmine
发行商:
Dieselmine

游戏概要：
网络上稍微有些名气的主播。
她有些自虐倾向，有自杀倾向，口中不停地说着想死的话。
自称进行自杀直播，前往了樹海，
但那里并没有死亡，而是等待着她的是比死亡更可怕的绳捆陷阱地下城。",2026年2月16日 19:32,可爱 -虐系陷阱地牢/病态的触手陷阱迷宫/病みカワ リョナトラップダンジョン/Kawaii -Ryona Trap Dungeon-Ver1.0 STEAM官中【1.6G】,,5.1日STEAM,,https://drive.uc.cn/s/6bd79743d4764?public=1 https://pan.baidu.com/s/1ezc1GHtivUnX57ySRbNS1Q?pwd=BAYJ https://pan.xunlei.com/s/VOdicb47HJQ3GYlLWq1DSDBrA1?pwd=3pzn#,【ACT/PC/动态/异种X/更新】,未开始,,S,,https://pic.moebox.io/album/ACT063.XaGDx
BAYJACT062,,,,,,,2026年2月16日 02:23,,,,,,DL5月新作，2G内容却很少很无聊也不涩，也就画风可以,【ACT/触手异种X/官中】莉拉酱与狭窄洞穴（リラちゃんときつきつの穴）V1.0 DL官中【2G】,,,2026年2月16日 19:32,莉拉酱与狭窄洞穴（リラちゃんときつきつの穴）V1.0 DL官中【2G】,,,,"1https://pan.baidu.com/s/1TZ-6KsyfIqXrpdazc7xgLA?pwd=BAYJ 提取码: BAYJ ",【ACT/触手异种X/官中】,未开始,,B,,
BAYJACT070,,,,https://drive.uc.cn/s/e5927189bc8f4?public=1,,,2026年2月16日 02:23,,,,,,像素风神作,【精品ACT/像素】花恐惧症Anthophobiav2.22最终更新版 steam官中 附游戏存档+作弊码【300M】,"作弊码
输入作弊码的方法：先按下小键盘的“-”键，输入对应作弊码，再按下“-”键激活。如果是笔记本键盘，“-”键改为“1”键。
作弊码（基本是花的名字）与效果如下，一般再输入一次作弊码会关闭效果：

calluna：生成一个随鼠标移动的机关枪，点击攻击，火力和手枪接近，点击右键会扔出一个手榴弹，有几秒钟的CD但伤害可观。

crocus：可进行跳关和血量设定。通过PageUp与PageDown设定血量。跳关需要使用小键盘数字键。

auricula：回复生命和衣物耐久，并获得各种战斗道具。

ff：显示帧率。

verbena：获得所有市民卡片。

forgetmenot：获得所有金卡。",,2026年3月30日 12:00,花恐惧症Anthophobiav2.22最终更新版【steam官中】 附游戏存档+作弊码【300M】,,,,https://pan.baidu.com/s/1m9Rer4Byr4J1Ap0dI0Yjwg?pwd=bayj,【官中/ACT/像素】,未开始,SS精品，绝对值得品鉴,SS,https://pan.xunlei.com/s/VOY6YRaCZrDHqeFDeRNcM3j_A1?pwd=fy8q,https://pic.moebox.io/album/ACT70.XZXFx
BAYJACT068,,,,,,,2026年2月16日 02:23,,SLG351,,,,,【亚洲风ACT/动态】  【H版饥荒】黑暗之地编年史：堕落精灵 Dark Land Chronicle: The Fallen Elf v0.328 官方中文步兵版 赞助版 【1.90G】,,,2026年3月5日 00:02," 【H版饥荒】黑暗之地编年史：堕落精灵 Dark Land Chronicle: The Fallen Elf v0.328 官方中文步兵版 赞助版 【1.90G】",,,,,"【亚洲风ACT/动态】 ",未开始,,S,,
BAYJACT071,,,KLW,https://drive.uc.cn/s/9ad37c531b774?public=1,,,2026年2月16日 02:23,,,,,,,【ACT/3D/PC】 球体实验少女 DamselRace0.17.99,,"帮找的，我还没玩明白
以下是机翻：《DamselRace》将是秋季男孩的混乱与《Dead by Daylight》的技巧和来回的有趣结合，但并不恐怖！所有的危险都打包成了最伟大的游戏节目之一！你扮演的是在竞技场上奔跑的众多女子之一，试图获胜，远离狡猾的危险，成为违背你意愿的明星娱乐！
目前，游戏处于非常早期的阿尔法，有许多危险、束缚和限制。最终，你将能够控制抓捕者，穿越一张完全创建的地图，上面有陷阱、阶段、困惑的路径、藏身之处，最重要的是，对那些失败的人进行某种形式的监禁和处理！那些接近尾声或不可避免地失败的人将被胜利出口附近的地板老板统治！只有击败或超越这位老板，少女才能看到胜利和独立的名声！

===========================
控件（QWERTY）：
E-启动-互动（按下可从胶囊中释放）
WASD-移动
Q-退出（截至17.97未激活）
Escape/Esc-暂停菜单选项
Backspace-（调试）用无人机捕捉所有少女
R-重置
轮班-冲刺
G-携带少女
Shift+F-面部凸轮
1-斗争的武器/斗争如果限制
2-挣扎腿/如果受到约束，就会挣扎
3-斗争噱头
7-调试按钮（允许在没有球体护送的情况下被约束，当在Techhorse上或配备hypnovisor时，切换强度）
8-（调试）（版本17.99）-在原型图中激活Damsel上的乳胶真空存储
（逗号和句号）-切换Damsel（截至0.17.5时未激活）（17.97时再次激活）（可能会破坏游戏）


------------------------
秘密纳伯模式：
R-重新启动
Esc-退出
E-Vote（投票阶段）/Save（海洛因/海洛因阶段）/Bind（纳贝尔/纳贝尔阶段）（在适当阶段）
F-拯救自我（女主角）/束缚自我（纳贝尔）



================
版本0.17.99-小更新-虚幻5.5，自定义和更多！ 
-将游戏升级到虚幻5.5，包括升级到所有支持nanite的少女，这将大大提高性能
-修复了另一个全面罩错误，使其不会夹在肩膀上
-将Vac存储添加到Secret Nabber，并作为原型映射中的调试选项（按8）
-完全改变了少女定制系统。添加了顶部/底部/袜子颜色更改。
-（ROLLOVER BUGS）-使用新的定制系统，它提高了性能，但需要更多的调整，只有RJ已经完全更新，其他任何东西都可能有明显的纹理剪切，尤其是在任何腿部绑定中。Latex Trap也是新定制的未更新资产的一部分。",2026年6月4日 21:35,球体实验少女 DamselRace0.17.99,,,,https://pan.baidu.com/s/1Tij710IGYYDqdL_bNKQmZQ?pwd=BAYJ,"【ACT/3D/PC】 ",未开始,,B,https://pan.xunlei.com/s/VOYknbIBEqioZKkVH7ijwaIMA1?pwd=nwwz,https://pic.moebox.io/album/ACT071.XkmzU
